Shape,A,d,tw,bf,tf
W14x342n,101,17.5,17.5,1.6875,16.375
W14x311n,91.4,17.1,17.125,0.75,16.25
W14x283n,83.3,16.7,16.75,1.5625,16.125
W14x257,75.6,16.4,16.375,0.5625,16
W14x233,68.5,16,16,0.5625,15.875
W14x211,62,15.7,15.75,0.5,15.875
W14x193,56.8,15.5,15.5,0.4375,15.75
W14x176,51.8,15.2,15.25,0.4375,15.75
W14x159,46.7,15,15,0.375,15.625
W14x145,42.7,14.8,14.875,0.375,15.5
W14x132,38.8,14.7,14.625,0.3125,14.75
W14x120,35.3,14.5,14.5,0.3125,14.625
W14x109,32,14.3,14.375,0.25,14.625
W14x99f,29.1,14.2,14.25,0.25,14.625
W14x90f,26.5,14,14,0.25,14.5
W14x82,24,14.3,14.375,0.25,10.125
W14x74,21.8,14.2,14.375,0.25,10.125
W14x68,20,14,14,0.25,10
W14x61,17.9,13.9,13.875,0.3125,10
W14x53,15.6,13.9,13.875,0.3125,8
W14x48,14.1,13.8,13.75,0.3125,8
W14x43c,12.6,13.7,13.625,0.3125,8
,,,,,
W14x38c,11.2,14.1,14.125,0.3125,6.75
W14x34c,10,14,14,0.3125,6.75
W14x30c,8.85,13.8,13.875,0.25,6.75
W14x26c,7.69,13.9,13.875,0.25,5
W14x22c,6.49,13.7,13.75,0.25,5
W12x336n,98.9,16.8,16.75,0.75,13.375
W12x305n,89.5,16.3,16.375,1.6875,13.25
W12x279n,81.9,15.9,15.875,0.75,13.125
W12x252n,74.1,15.4,15.375,0.6875,13
W12x230n,67.7,15.1,15,0.6875,12.875
W12x210,61.8,14.7,14.375,0.5625,12.75
W12x190,56,14.4,14.375,0.5625,12.625
W12x170,50,14,14,0.5,12.625
W12x152,44.7,13.7,13.75,0.4375,12.5
W12x136,39.9,13.4,13.375,0.4375,12.375
W12x120,35.2,13.1,13.25,0.375,12.375
W12x106,31.2,12.9,12.875,0.3125,12.25
W12x96,28.2,12.7,12.75,0.3125,12.25
W12x87,25.6,12.5,12.625,0.25,12.125
W12x79,23.2,12.4,12.375,0.25,12.125
W12x72,21.1,12.3,12.25,0.25,12
W12x65f,19.1,12.1,12.125,0.3125,12
W12x58,17,12.2,12.25,0.3125,10
W12x53,15.6,12.1,12,0.3125,10
W12x50,14.6,12.2,12.25,0.3125,8.125
W12x45,13.1,12.1,12,0.3125,8
W12x40,11.7,11.9,12,0.3125,8
W12x35c,10.3,12.5,12.25,0.3125,6.5
W12x30c,8.79,12.3,12.25,0.25,6.5
W12x26c,7.65,12.2,12.25,0.25,6.5
W12x22c,6.48,12.3,12.25,0.25,4
W12x19c,5.57,12.2,12.25,0.25,4
W12x16c,4.71,12,12,0.25,4
W12x14fv,4.16,11.9,11.875,0.25,4
W10x112,32.9,11.4,11.125,0.375,10.375
W10x100,29.3,11.1,11.125,0.375,10.375
W10x88,26,10.8,10.875,0.3125,10.25
W10x77,22.7,10.6,10.875,0.25,10.25
W10x68,19.9,10.4,10.375,0.25,10.125
W10x60,17.7,10.2,10.25,0.25,10.125
W10x54,15.8,10.1,10.125,0.3125,10
W10x49,14.4,10,10,0.3125,10
W10x45,13.3,10.1,10.125,0.3125,8
W10x39,11.5,9.92,9.875,0.3125,8
W10x33,9.71,9.73,9.75,0.3125,8
W10x30,8.84,10.5,10.5,0.3125,5.75
W10x26,7.61,10.3,10.375,0.25,5.75
W10x22c,6.49,10.2,10.375,0.25,5.75
W10x19,5.62,10.2,10.25,0.25,4
W10x17c,4.99,10.1,10.125,0.25,4
W10x15c,4.41,9.99,10,0.25,4
W10x12f,3.54,9.87,9.875,0.25,4
W8x67,19.7,9,9,0.3125,8.25
W8x58,17.1,8.75,8.75,0.25,8.25
W8x48,14.1,8.5,8.5,0.3125,8.125
W8x40,11.7,8.25,8.25,0.3125,8.125
W8x35,10.3,8.12,8.125,0.3125,8
W8x31f,9.13,8,8,0.3125,8
W8x28,8.25,8.06,8,0.3125,6.5
W8x24,7.08,7.93,7.875,0.25,6.5
W8x21,6.16,8.28,8.25,0.25,5.25
W8x18,5.26,8.14,8.125,0.25,5.25
W8x15,4.44,8.11,8.125,0.25,4
W8x13,3.84,7.99,8,0.25,4
W8x10f,2.96,7.89,7.875,0.25,4
W6x25,7.34,6.38,6.375,0.3125,6.125
W6x20,5.87,6.2,6.25,0.25,6
W6x15f,4.43,5.99,6,0.25,6
W6x16,4.74,6.28,6.25,0.25,4
W6x12,3.55,6.03,6,0.25,4
W6x9f,2.68,5.9,5.875,0.25,4
W6x8.5f,2.52,5.83,5.875,0.25,4
W5x19,5.56,5.15,5.125,0.25,5
W5x16,4.71,5.01,5,0.25,5
W4x13,3.83,4.16,4.125,0.25,4
